Date,Price Aluminium,Price Copper,Price Steel,Price Oil
2024-03-10,110.08,4.136,436.75,81.04
2024-03-17,110.75,4.024,439.25,80.63
2024-03-24,110.8,4.039,442.0,83.17
2024-03-31,109.66,4.2665,434.25,86.91
2024-04-07,108.69,4.2895,447.25,85.66
2024-04-14,107.91,4.526,443.0,83.14
2024-04-21,107.58,4.574,440.0,83.85
2024-04-28,108.86,4.562,447.0,78.11
2024-05-05,108.7,4.651,455.75,78.26
2024-05-12,109.48,4.9655,452.5,80.06
2024-05-19,109.02,4.7405,464.75,77.72
2024-05-26,108.8,4.6105,446.25,76.99
2024-06-02,109.31,4.486,454.75,75.53
2024-06-09,110.84,4.475,457.0,78.45
2024-06-16,110.5,4.4285,440.5,80.73
2024-06-23,109.98,4.399,407.5,80.64
2024-06-30,110.61,4.63,410.5,83.16
2024-07-07,111.19,4.587,402.0,82.21
2024-07-14,110.83,4.246,404.75,80.13
2024-07-21,111.2,4.138,410.0,77.16
2024-07-28,114.14,4.131,403.25,73.52
2024-08-04,112.95,4.0165,395.0,76.84
2024-08-11,113.67,4.167,392.5,76.65
2024-08-18,114.3,4.2305,391.0,74.83
2024-08-25,113.56,4.2115,378.0,72.65
2024-09-01,115.02,4.0735,383.75,67.67
2024-09-08,115.42,4.213,390.75,68.65
2024-09-15,114.84,4.316,401.75,71.92
2024-09-22,114.73,4.5995,418.0,68.18
2024-09-29,112.84,4.574,424.75,73.68
2024-10-06,112.25,4.466,415.75,75.56
2024-10-13,112.22,4.3565,404.75,69.22
2024-10-20,111.06,4.344,415.25,71.78
2024-10-27,110.03,4.3715,414.5,69.08
2024-11-03,110.28,4.3375,444.25,70.38
2024-11-10,109.69,4.0935,435.25,67.02
2024-11-17,109.81,4.119,435.25,71.24
2024-11-24,111.19,4.14,423.0,68.0
2024-12-01,111.45,4.1965,430.75,67.2
2024-12-08,109.88,4.177,430.0,71.29
2024-12-15,108.97,4.079,446.25,69.46
2024-12-22,108.44,4.1005,454.0,70.18
2024-12-29,108.64,4.0735,450.75,73.96
2025-01-05,107.39,4.282,470.5,76.57
2025-01-12,108.55,4.346,484.25,77.88
2025-01-19,108.47,4.2965,486.5,74.66
2025-01-26,108.84,4.279,482.0,71.98
2025-02-02,109.23,4.632,500.5,71.0
2025-02-09,109.31,4.713,508.75,70.74
2025-02-16,109.69,4.6155,505.0,70.4
2025-02-23,111.06,4.569,469.5,69.76
2025-03-02,111.94,4.5458,446.88,67.29
