direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Mar 04, 2025",1741046400,2025-03-04T00:00:00Z,4.5450,4.6028,4.6118,4.5287,29.15K,29154,-1.35,4.54500007629395,4.60279989242554,4.61180019378662,4.52874994277954,-1.3457738119202947
greenFont,"Mar 03, 2025",1740960000,2025-03-03T00:00:00Z,4.6070,4.5765,4.6535,4.5365,49.07K,49065,1.30,4.60699987411499,4.57649993896484,4.65350008010864,4.53649997711182,1.2972739025904052
redFont,"Feb 28, 2025",1740700800,2025-02-28T00:00:00Z,4.5480,4.5955,4.5970,4.5115,43.88K,43877,-1.53,4.54799985885620,4.59549999237061,4.59700012207031,4.51149988174438,-1.5264776504984052
greenFont,"Feb 27, 2025",1740614400,2025-02-27T00:00:00Z,4.6185,4.5835,4.6685,4.5490,52.00K,52004,1.25,4.61850023269653,4.58349990844727,4.66849994659424,4.54899978637695,1.2495924435292032
greenFont,"Feb 26, 2025",1740528000,2025-02-26T00:00:00Z,4.5615,4.6535,4.7125,4.5500,1.62K,1617,1.29,4.56150007247925,4.65350008010864,4.71250009536743,4.55000019073486,1.2878891514279134
redFont,"Feb 25, 2025",1740441600,2025-02-25T00:00:00Z,4.5035,4.5280,4.6790,4.4970,1.31K,1305,-1.31,4.50349998474121,4.52799987792969,4.67899990081787,4.49700021743774,-1.3147790891307582
redFont,"Feb 24, 2025",1740355200,2025-02-24T00:00:00Z,4.5635,4.5905,4.6270,4.5495,37.12K,37121,-1.13,4.56349992752075,4.59049987792969,4.62699985504150,4.54949998855591,-1.1266394990188504
redFont,"Feb 21, 2025",1740096000,2025-02-21T00:00:00Z,4.6155,4.6655,4.6690,4.5880,37.13K,37132,-1.08,4.61549997329712,4.66550016403198,4.66900014877319,4.58799982070923,-1.0822956981132228
greenFont,"Feb 20, 2025",1740009600,2025-02-20T00:00:00Z,4.6660,4.6205,4.6900,4.5985,29.29K,29292,1.13,4.66599988937378,4.62050008773804,4.69000005722046,4.59849977493286,1.1270057984186412
redFont,"Feb 19, 2025",1739923200,2025-02-19T00:00:00Z,4.6140,4.6425,4.6625,4.6020,24.43K,24432,-0.61,4.61399984359741,4.64249992370605,4.66249990463257,4.60200023651123,-0.6138951120517985
redFont,"Feb 18, 2025",1739836800,2025-02-18T00:00:00Z,4.6425,4.6915,4.7180,4.5945,35.14K,35141,-0.47,4.64249992370605,4.69150018692017,4.71799993515015,4.59450006484985,-0.4716542328151808
redFont,"Feb 14, 2025",1739491200,2025-02-14T00:00:00Z,4.6645,4.7830,4.8365,4.6365,116.10K,116096,-2.38,4.66450023651123,4.78299999237061,4.83650016784668,4.63649988174438,-2.3754634641732144
greenFont,"Feb 13, 2025",1739404800,2025-02-13T00:00:00Z,4.7780,4.6950,4.7905,4.6835,78.51K,78506,1.56,4.77799987792969,4.69500017166138,4.79050016403198,4.68349981307983,1.562327058482986
greenFont,"Feb 12, 2025",1739318400,2025-02-12T00:00:00Z,4.7045,4.5975,4.7125,4.5755,77.94K,77937,2.25,4.70450019836426,4.59749984741211,4.71250009536743,4.57550001144409,2.249519017315415
redFont,"Feb 11, 2025",1739232000,2025-02-11T00:00:00Z,4.6010,4.6935,4.7000,4.5410,103.14K,103143,-2.25,4.60099983215332,4.69350004196167,4.69999980926514,4.54099988937378,-2.2519641295255073
greenFont,"Feb 10, 2025",1739145600,2025-02-10T00:00:00Z,4.7070,4.5980,4.7150,4.5705,107.86K,107861,2.57,4.70699977874756,4.59800004959106,4.71500015258789,4.57049989700317,2.5713564587740767
greenFont,"Feb 07, 2025",1738886400,2025-02-07T00:00:00Z,4.5890,4.4580,4.6080,4.4570,92.76K,92763,2.87,4.58900022506714,4.45800018310547,4.60799980163574,4.45699977874756,2.86931765040398
greenFont,"Feb 06, 2025",1738800000,2025-02-06T00:00:00Z,4.4610,4.4370,4.5095,4.4110,64.52K,64518,0.38,4.46099996566772,4.43699979782104,4.50950002670288,4.41099977493286,0.3825427374980534
greenFont,"Feb 05, 2025",1738713600,2025-02-05T00:00:00Z,4.4440,4.3590,4.4565,4.3430,56.00K,55998,2.08,4.44399976730347,4.35900020599365,4.45650005340576,4.34299993515015,2.0787844315923003
greenFont,"Feb 04, 2025",1738627200,2025-02-04T00:00:00Z,4.3535,4.3320,4.3720,4.3065,44.13K,44125,1.11,4.35349988937378,4.33199977874756,4.37200021743774,4.30649995803833,1.1148498087556638
greenFont,"Feb 03, 2025",1738540800,2025-02-03T00:00:00Z,4.3055,4.2585,4.3375,4.1835,69.19K,69192,0.62,4.30550003051758,4.25850009918213,4.33750009536743,4.18349981307983,0.6193088635663059
